=== STAGE cs: THEOREM CS-M (Galois multiplicity + AM-GM) ===
  n   p   w   |Lam*| delta  #ternary  checked  tightest CS3 margin
  16   3   2     4     4        80       80   0.0000 bits
  16   3   3     4     4        80       80   0.0000 bits
  16   3   4     4     4        80       80   0.0000 bits
  16   3   5     4     4        80       80   0.0000 bits
  16   7   2     2     2       128      128   0.7251 bits
  16   7   3     2     2       128      128   0.7251 bits
  16   7   4     4     2        16       16   0.0000 bits
  16   7   5     4     2        16       16   0.0000 bits
  16   7   6     4     2        16       16   0.0000 bits
  16   7   7     4     2        16       16   0.0000 bits
  16   7   8     4     2        16       16   0.0000 bits
  16  17   2     1     1       384      128   2.2524 bits
  16  17   3     1     1       384      128   2.2524 bits
  16  17   4     2     1        16       16   2.1649 bits
  16  17   5     2     1        16       16   2.1649 bits
  32   3   2     8     8      6560      122   0.0000 bits
  32   3   3     8     8      6560      122   0.0000 bits
  32   3   4     8     8      6560      122   0.0000 bits
  32   3   5     8     8      6560      122   0.0000 bits
  32   7   2     4     4     16640      121   1.4503 bits
  32   7   3     4     4     16640      121   1.4503 bits
  32   7   4     8     4       288      144   0.0000 bits
  32   7   5     8     4       288      144   0.0000 bits
  32   7   6     8     4       288      144   0.0000 bits
  32   7   7     8     4       288      144   0.0000 bits
  32   7   8     8     4       288      144   0.0000 bits
  32  17   2     2     2    148224      121   4.5048 bits
  32  17   3     2     2    148224      121   4.5048 bits
  32  17   4     4     2       288      144   4.3298 bits
  32  17   5     4     2       288      144   4.3298 bits

[cs] 11752 checks, 0 FAIL
STAGE_CS_ALL_PASS
