=== STAGE floor: Z-FLOOR-M off-instance (collision / census / existence) ===
   n   p   w  delta  g  g*log2p    h   fires?  #ternary  verdict
  16   3   2     4   4     6.340     8   YES          80  forced
  16   3   3     4   4     6.340     8   YES          80  forced
  16   3   4     4   4     6.340     8   YES          80  forced
  16   3   5     4   4     6.340     8   YES          80  forced
  16   3   6     4   8    12.680     8   -             0  empty
  16   3   7     4   8    12.680     8   -             0  empty
  16   3   8     4   8    12.680     8   -             0  empty
  16   5   2     4   4     9.288     8   -             0  empty
  16   5   3     4   4     9.288     8   -             0  empty
  16   5   4     4   8    18.575     8   -             0  empty
  16   5   5     4   8    18.575     8   -             0  empty
  16   5   6     4   8    18.575     8   -             0  empty
  16   5   7     4   8    18.575     8   -             0  empty
  16   5   8     4   8    18.575     8   -             0  empty
  16   7   2     2   2     5.615     8   YES         128  forced
  16   7   3     2   2     5.615     8   YES         128  forced
  16   7   4     2   4    11.229     8   -            16  exists
  16   7   5     2   4    11.229     8   -            16  exists
  16   7   6     2   4    11.229     8   -            16  exists
  16   7   7     2   4    11.229     8   -            16  exists
  16   7   8     2   4    11.229     8   -            16  exists
  16  17   2     1   1     4.087     8   YES         384  forced
  16  17   3     1   1     4.087     8   YES         384  forced
  16  17   4     1   2     8.175     8   -            16  exists
  16  17   5     1   2     8.175     8   -            16  exists
  16  17   6     1   3    12.262     8   -             0  empty
  16  17   7     1   3    12.262     8   -             0  empty
  16  17   8     1   4    16.350     8   -             0  empty
  32   3   2     8   8    12.680    16   YES        6560  forced
  32   3   3     8   8    12.680    16   YES        6560  forced
  32   3   4     8   8    12.680    16   YES        6560  forced
  32   3   5     8   8    12.680    16   YES        6560  forced
  32   3   6     8  16    25.359    16   -             0  empty
  32   3   7     8  16    25.359    16   -             0  empty
  32   3   8     8  16    25.359    16   -             0  empty
  32   5   2     8   8    18.575    16   -             0  empty
  32   5   3     8   8    18.575    16   -             0  empty
  32   5   4     8  16    37.151    16   -             0  empty
  32   5   5     8  16    37.151    16   -             0  empty
  32   5   6     8  16    37.151    16   -             0  empty
  32   5   7     8  16    37.151    16   -             0  empty
  32   5   8     8  16    37.151    16   -             0  empty
  32   7   2     4   4    11.229    16   YES       16640  forced
  32   7   3     4   4    11.229    16   YES       16640  forced
  32   7   4     4   8    22.459    16   -           288  exists
  32   7   5     4   8    22.459    16   -           288  exists
  32   7   6     4   8    22.459    16   -           288  exists
  32   7   7     4   8    22.459    16   -           288  exists
  32   7   8     4   8    22.459    16   -           288  exists
  32  17   2     2   2     8.175    16   YES      148224  forced
  32  17   3     2   2     8.175    16   YES      148224  forced
  32  17   4     2   4    16.350    16   -           288  exists
  32  17   5     2   4    16.350    16   -           288  exists
  32  17   6     2   6    24.525    16   -             0  empty
  32  17   7     2   6    24.525    16   -             0  empty
  32  17   8     2   8    32.700    16   -             0  empty
  Z-FLOOR-M fired (and was confirmed) in 16 cells; 0 falsifications.
  --- I3 census identity replay (n = 16, all 2^16 subsets) ---
     #{S : strat(S)=0, odd conditions} == sum_{v!=0} 2^{h-wt(v)}   (16 cells)

[floor] 224 checks, 0 FAIL
STAGE_FLOOR_ALL_PASS
