p	SIGMA	TMASS	CRATIO	EXCESS	H
97	9.400087	675.629394531	0.998538080045	0.998535916221	675.618556701
193	8.407543	339.696777344	0.997466498712	0.997459037573	339.559585492
257	7.994375	255.00390625	0.996109008789	0.99609375	255
353	7.536476	187.214355469	1.00301523009	1.00303147143	185.651558074
449	7.189428	146.694824219	0.998211325082	0.998199070332	145.957683742
577	6.827572	114.209472656	0.99677616352	0.996747779395	113.578856153
641	6.675819	102.251464844	0.990437454135	0.990343922558	102.238689548
673	6.605537	97.3930664062	0.989994165228	0.989891412091	97.3774145617
769	6.413160	85.3491210938	0.989887097627	0.989768430931	85.2210663199
929	6.140465	71.1049804688	0.993869265399	0.993782358365	70.5435952637
1153	5.828823	57.4697265625	0.993620962191	0.993508731618	56.8386816999
1217	5.750887	54.1328125	0.986931220226	0.986688529984	53.8496302383
1249	5.713442	52.6533203125	0.984726836822	0.984435752961	52.4699759808
1409	5.539544	46.6796875	0.982488045045	0.982111538682	46.5117104329
1601	5.355242	41.3603515625	0.986325113971	0.985991040689	40.9337913804
1697	5.271229	38.6831054688	0.976398589667	0.975787441527	38.6181496759
1889	5.116593	34.82421875	0.975660732362	0.974959170195	34.6929592377
2017	5.022005	32.5659179688	0.972368790605	0.971518372518	32.4913237481
2081	4.976939	31.8330078125	0.979716180457	0.979072087553	31.4920711197
2113	4.954923	31.9169921875	0.996934196017	0.996835347405	31.0151443445
2273	4.849618	29.4760742188	0.98807097539	0.987657232002	28.8319401672
2593	4.659594	27.1000976562	1.03144893763	1.03269326654	25.2738141149
2657	4.624417	25.8642578125	1.0077623916	1.00807710396	24.6650357546
2689	4.607146	25.7265625	1.01399399863	1.01456819352	24.3715135738
2753	4.573211	23.9741210938	0.96650590691	0.965098884124	23.8049400654
3041	4.429670	22.2602539062	0.987130076541	0.98653287753	21.5504768168
3137	4.384830	21.4282226562	0.978860881766	0.977849003932	20.890978642
3169	4.370188	20.953125	0.966471429975	0.964850127794	20.6800252446
3329	4.299127	20.615234375	0.996574628752	0.996400629196	19.6860919195
3361	4.285325	19.6782226562	0.959975997847	0.957923343979	19.4986611128
3457	4.244695	20.1801757812	1.01117329076	1.01176268674	18.9571883136
3617	4.179422	18.978515625	0.992672533197	0.992268116512	18.11860658
4001	4.033855	17.5	1.00692447078	1.00734721904	16.3796550862
4129	3.988423	16.5834960938	0.982907317569	0.981830401634	15.8718818116
4289	3.933574	15.5146484375	0.953000789821	0.9499248821	15.2797854978
4481	3.870395	15.0346679688	0.962213596435	0.959629925505	14.6250836867
4513	3.860129	14.8916015625	0.959424935067	0.956630775182	14.5213826723
4673	3.809867	14.5991210938	0.971708250785	0.969690896026	14.024181468
4801	3.770881	13.7690429688	0.939848374843	0.935441753154	13.6502811914
4993	3.714309	13.4672851562	0.95341076998	0.949861215918	13.1253755257
5153	3.668803	13.9799804688	1.01910988224	1.0206124873	12.7178342713
5281	3.633405	13.5004882812	1.00677923934	1.00732553007	12.4095815187
5441	3.590344	12.6235351562	0.967716619493	0.965036313194	12.0446609079
5569	3.556797	13.58984375	1.06438231103	1.06985335842	11.7678218711
5857	3.484054	12.0234375	0.986402866393	0.985187662127	11.1891753457
5953	3.460599	11.611328125	0.966906842101	0.963900760328	11.0087350916
6113	3.422335	11.5942382812	0.989219219145	0.988213605147	10.7205954523
6337	3.370416	10.9047851562	0.961481850166	0.957757282905	10.3416443112
6529	3.327354	10.978515625	0.994653759375	0.994121133984	10.037524889
6689	3.292425	10.12109375	0.937361487785	0.930968125334	9.79742861414
6977	3.231609	11.0732421875	1.0654513838	1.07241948184	9.3930055898
7297	3.166912	9.66650390625	0.968481972264	0.964972594856	8.9810881184
7393	3.148056	9.96435546875	1.01012615155	1.01126848219	8.86446638712
7457	3.135620	9.9736328125	1.01892508608	1.02107850588	8.7883867507
7489	3.129443	9.048828125	0.928005502686	0.919778344825	8.75083455735
7649	3.098945	10.009765625	1.04619448603	1.0515861336	8.56778663878
7681	3.092922	9.3447265625	0.980343705291	0.97803989817	8.5320921755
7841	3.063178	8.626953125	0.921880989058	0.912534362602	8.35799005229
7873	3.057302	9.7080078125	1.04118277991	1.0461302435	8.32401879842
7937	3.045622	9.25	0.999254818162	0.999164568551	8.25689807232
8161	3.005470	8.65625	0.958581961708	0.953424219883	8.03026589879
8353	2.971921	8.1787109375	0.924599020963	0.91498851699	7.84568418532
8513	2.944548	8.28466796875	0.952454872758	0.94627875819	7.69822624222
8609	2.928370	8.18115234375	0.949929064083	0.943351499616	7.61238239052
8641	2.923017	9.3232421875	1.08609436667	1.09744618513	7.58419164449
8737	2.907078	8.43798828125	0.992604260196	0.991618274407	7.50085841822
8929	2.875717	8.2431640625	0.988440211566	0.986865215748	7.33956770075
9281	2.819935	7.8291015625	0.971207918113	0.96713041278	7.06120030169
