A/11261 n=133996 nsub=33499 hits=5468 rung={8: 66796, 12: 6568, 16: 477, 24: 4} win={8: 66796, 12: 6568, 16: 477, 24: 4} prime={8: 4059, 12: 403, 16: 32, 24: 1} maxv2=18
A/11261 n=219174 nsub=54793 hits=9021 rung={8: 109529, 12: 10671, 16: 781, 24: 5} win={8: 109529, 12: 10671, 16: 781, 24: 5} prime={8: 6709, 12: 655, 16: 51, 24: 1} maxv2=19
A/11261 n=301163 nsub=75290 hits=12411 rung={8: 150408, 12: 14574, 16: 1083, 24: 9} win={8: 150408, 12: 14574, 16: 1083, 24: 9} prime={8: 9255, 12: 892, 16: 71, 24: 1} maxv2=19
A/11261 n=378519 nsub=94629 hits=15535 rung={8: 189461, 12: 18325, 16: 1361, 24: 10} win={8: 189461, 12: 18325, 16: 1361, 24: 10} prime={8: 11585, 12: 1111, 16: 86, 24: 1} maxv2=23
A/11261 n=445884 nsub=111471 hits=18245 rung={8: 222862, 12: 21553, 16: 1609, 24: 14} win={8: 222862, 12: 21553, 16: 1609, 24: 14} prime={8: 13600, 12: 1307, 16: 97, 24: 1} maxv2=23
A/11261 n=510240 nsub=127560 hits=20943 rung={8: 255000, 12: 24721, 16: 1864, 24: 15} win={8: 255000, 12: 24721, 16: 1864, 24: 15} prime={8: 15557, 12: 1485, 16: 107, 24: 1} maxv2=23
A/11261 n=575869 nsub=143967 hits=23617 rung={8: 287951, 12: 27912, 16: 2079, 24: 16} win={8: 287951, 12: 27912, 16: 2079, 24: 16} prime={8: 17542, 12: 1711, 16: 128, 24: 1} maxv2=23
A/11261 n=639391 nsub=159847 hits=26259 rung={8: 319818, 12: 31031, 16: 2314, 24: 18} win={8: 319818, 12: 31031, 16: 2314, 24: 18} prime={8: 19436, 12: 1894, 16: 142, 24: 1} maxv2=23
A/11261 n=707702 nsub=176925 hits=29132 rung={8: 354049, 12: 34364, 16: 2554, 24: 20} win={8: 354049, 12: 34364, 16: 2554, 24: 20} prime={8: 21555, 12: 2118, 16: 156, 24: 1} maxv2=23
A/11261 n=767237 nsub=191809 hits=31584 rung={8: 383753, 12: 37335, 16: 2771, 24: 22} win={8: 383753, 12: 37335, 16: 2771, 24: 22} prime={8: 23336, 12: 2325, 16: 164, 24: 1} maxv2=23
A/11261 n=839463 nsub=209865 hits=34507 rung={8: 419869, 12: 40801, 16: 3033, 24: 22} win={8: 419869, 12: 40801, 16: 3033, 24: 22} prime={8: 25501, 12: 2551, 16: 180, 24: 1} maxv2=23
A/11261 n=910020 nsub=227505 hits=37389 rung={8: 455329, 12: 44186, 16: 3290, 24: 22} win={8: 455329, 12: 44186, 16: 3290, 24: 22} prime={8: 27602, 12: 2749, 16: 196, 24: 1} maxv2=23
