B/3049 n=216300 nsub=54075 hits=7395 rung={12: 4681, 16: 408, 24: 7} win={12: 4681, 16: 408, 24: 7} prime={12: 269, 16: 33, 24: 1} maxv2=21
B/3049 n=357000 nsub=89250 hits=12228 rung={12: 7746, 16: 695, 24: 11} win={12: 7746, 16: 695, 24: 11} prime={12: 438, 16: 57, 24: 1} maxv2=21
B/3049 n=483300 nsub=120825 hits=16768 rung={12: 10434, 16: 924, 24: 12} win={12: 10434, 16: 924, 24: 12} prime={12: 570, 16: 69, 24: 1} maxv2=21
B/3049 n=616500 nsub=154125 hits=21512 rung={12: 13341, 16: 1158, 24: 13} win={12: 13341, 16: 1158, 24: 13} prime={12: 737, 16: 81, 24: 1} maxv2=22
B/3049 n=726900 nsub=181725 hits=25374 rung={12: 15693, 16: 1376, 24: 15} win={12: 15693, 16: 1376, 24: 15} prime={12: 874, 16: 97, 24: 2} maxv2=22
B/3049 n=825900 nsub=206475 hits=28848 rung={12: 17815, 16: 1565, 24: 18} win={12: 17815, 16: 1565, 24: 18} prime={12: 991, 16: 107, 24: 2} maxv2=22
B/3049 n=927600 nsub=231900 hits=32418 rung={12: 20054, 16: 1760, 24: 19} win={12: 20054, 16: 1760, 24: 19} prime={12: 1112, 16: 118, 24: 2} maxv2=22
B/3049 n=1030800 nsub=257700 hits=36117 rung={12: 22323, 16: 1979, 24: 21} win={12: 22323, 16: 1979, 24: 21} prime={12: 1252, 16: 127, 24: 2} maxv2=22
B/3049 n=1141500 nsub=285375 hits=40017 rung={12: 24649, 16: 2180, 24: 23} win={12: 24649, 16: 2180, 24: 23} prime={12: 1382, 16: 140, 24: 2} maxv2=22
B/3049 n=1238100 nsub=309525 hits=43331 rung={12: 26773, 16: 2372, 24: 25} win={12: 26773, 16: 2372, 24: 25} prime={12: 1487, 16: 146, 24: 2} maxv2=22
B/3049 n=1357200 nsub=339300 hits=47516 rung={12: 29340, 16: 2615, 24: 27} win={12: 29340, 16: 2615, 24: 27} prime={12: 1616, 16: 162, 24: 2} maxv2=22
B/3049 n=1473600 nsub=368400 hits=51482 rung={12: 31867, 16: 2851, 24: 28} win={12: 31867, 16: 2851, 24: 28} prime={12: 1747, 16: 177, 24: 2} maxv2=22
