=== (a) extended field sweep, N=16, rho=3, e=1, q = 1 mod 16 prime ===
q     max_t  #corefree(t>=5)  #core(t>=5)
17    14     16               9584
97    14     0                1904
113   14     0                1904
193   14     0                1904
241   14     0                1904
257   14     0                1904
337   14     0                1904
353   14     0                1904
401   14     0                1904
433   14     0                1904
449   14     0                1904
577   14     0                1904
593   14     0                1904
641   14     0                1904
673   14     0                1904
769   14     0                1904
881   14     0                1904
929   14     0                1904
977   14     0                1904
1009  14     0                1904
1153  14     0                1904
1201  14     0                1904
1217  14     0                1904
1249  14     0                1904
1297  14     0                1904
1361  14     0                1904
1409  14     0                1904
1489  14     0                1904
1553  14     0                1904
1601  14     0                1904
1697  14     0                1904
1777  14     0                1904
1873  14     0                1904
1889  14     0                1904
2017  14     0                1904
2081  14     0                1904
2113  14     0                1904
2129  14     0                1904
2161  14     0                1904
2273  14     0                1904
2417  14     0                1904
2593  14     0                1904
2609  14     0                1904
2657  14     0                1904
2689  14     0                1904
2753  14     0                1904
2801  14     0                1904
2833  14     0                1904
2897  14     0                1904
3041  14     0                1904
3089  14     0                1904
3121  14     0                1904
3137  14     0                1904
3169  14     0                1904
3217  14     0                1904
3313  14     0                1904
3329  14     0                1904
3361  14     0                1904
3457  14     0                1904
3617  14     0                1904
3697  14     0                1904
3761  14     0                1904
3793  14     0                1904
3889  14     0                1904
4001  14     0                1904
4049  14     0                1904
4129  14     0                1904
4177  14     0                1904
4241  14     0                1904
4273  14     0                1904
4289  14     0                1904
4337  14     0                1904
4481  14     0                1904
4513  14     0                1904
4561  14     0                1904
4657  14     0                1904
4673  14     0                1904
4721  14     0                1904
4801  14     0                1904
4817  14     0                1904
4993  14     0                1904
prime fields <5000 with a core-free strict-A3 witness at N=16: [17]

=== (b) are the CORE (s>=1) t>=5 lines genuine far-CA witnesses? ===
q=17 : tested 60 core lines; column-far pencils with T>4 : 0 ; max T among column-far core pencils = 0
