p	SIGMA	UMIN	H	PREDCR_est	PREDCR_exact	BONUS	AU
15181899841	-1.821633	5	0.282901	2.558967	2.558967	2.000000	5:64
12266306753	-1.513982	5	0.350143	2.481324	2.481324	2.000000	5:64
10386168577	-1.273944	5	0.413528	2.414900	2.414900	2.000000	5:64
8925216449	-1.055240	5	0.481217	2.350241	2.350241	2.000000	5:64
7905283201	-0.880170	5	0.543303	2.295921	2.295921	2.000000	5:64
7817766721	-0.864109	5	0.549385	2.290834	2.290834	2.000000	5:64
7700867137	-0.842374	5	0.557725	2.283924	2.283924	2.000000	5:64
7204192769	-0.746190	5	0.596176	2.252995	2.252995	2.000000	5:64
6980274881	-0.700637	5	0.615301	2.238160	2.238160	2.000000	5:64
6893348353	-0.682558	5	0.623060	2.232241	2.232241	2.000000	5:64
6142387969	-0.516152	5	0.699234	2.177001	2.177001	2.000000	5:64
15305003393	-1.833284	6	0.280625	2.171303	2.171303	1.500000	6:64;7:64
6010109057	-0.484744	5	0.714624	2.166437	2.166437	2.000000	5:64
5783474497	-0.429289	5	0.742628	2.147692	2.147692	2.000000	5:64
11803750337	-1.458526	6	0.363865	2.099816	2.099816	1.500000	6:64;7:64
5080241857	-0.242250	5	0.845426	2.083761	2.083761	2.000000	5:64
4368968641	-0.024646	5	0.983062	2.008541	2.008541	2.000000	5:64
8755223041	-1.027497	6	0.490561	2.006333	2.006333	1.500000	6:64;7:64
4337074369	-0.014075	5	0.990291	2.004878	2.004878	2.000000	5:64
4262885761	0.010817	5	1.007526	1.996251	1.996251	2.000000	5:64
8457145409	-0.977524	6	0.507851	1.994793	1.994793	1.500000	6:64;7:64
4191854593	0.035058	5	1.024598	1.987850	1.987850	2.000000	5:64
4169310721	0.042838	5	1.030138	1.985154	1.985154	2.000000	5:64
4165229569	0.044251	5	1.031148	1.984665	1.984665	2.000000	5:64
4076771393	0.075220	5	1.053522	1.973937	1.973937	2.000000	5:64
4065171137	0.079331	5	1.056528	1.972513	1.972513	2.000000	5:64
3729188993	0.203785	5	1.151716	1.929491	1.929491	2.000000	5:64
6910253761	-0.686092	6	0.621535	1.925049	1.925049	1.500000	6:64;7:64
3693023041	0.217845	5	1.162995	1.924644	1.924644	2.000000	5:64
6703931777	-0.642360	6	0.640664	1.914264	1.914264	1.500000	6:64;7:64
6550907009	-0.609048	6	0.655629	1.906000	1.906000	1.500000	6:64;7:64
3525947393	0.284636	5	1.218103	1.901671	1.901671	2.000000	5:64
3466209473	0.309288	5	1.239096	1.893218	1.893218	2.000000	5:64
6170228417	-0.522677	6	0.696079	1.884393	1.884393	1.500000	6:64;7:64
3350080961	0.358451	6	1.282049	1.876405	1.876405	2.000000	6:64;7:128
3291724481	0.383804	5	1.304777	1.867763	1.867763	2.000000	5:64
3289367041	0.384837	5	1.305712	1.867411	1.867411	2.000000	5:64
3188336449	0.429843	5	1.347087	1.852120	1.852120	2.000000	5:64
3180193537	0.433533	5	1.350536	1.850870	1.850870	2.000000	5:64
3124473857	0.459034	5	1.374621	1.842240	1.842240	2.000000	5:64
5346878657	-0.316050	6	0.803266	1.831824	1.831824	1.500000	6:64;7:64
5277050561	-0.297085	6	0.813895	1.826950	1.826950	1.500000	6:64;7:64
5160859841	-0.264964	6	0.832219	1.818679	1.818679	1.500000	6:64;7:64
2908472641	0.562385	5	1.476709	1.807523	1.807523	2.000000	5:64
2870372737	0.581409	5	1.496310	1.801183	1.801183	2.000000	5:64
17140385153	-1.996680	6	0.250576	1.799632	1.799632	1.000000	6:64
17099829377	-1.993263	6	0.251170	1.799252	1.799252	1.000000	6:64
16974140033	-1.982619	6	0.253030	1.798065	1.798065	1.000000	6:64
16947167297	-1.980325	6	0.253433	1.797809	1.797809	1.000000	6:64
4879284161	-0.184022	6	0.880245	1.797768	1.797768	1.500000	6:64;7:64
16930858753	-1.978936	6	0.253677	1.797654	1.797654	1.000000	6:64
16902549953	-1.976522	6	0.254102	1.797383	1.797383	1.000000	6:64
16861604801	-1.973023	6	0.254719	1.796991	1.796991	1.000000	6:64
16852193921	-1.972217	6	0.254861	1.796901	1.796901	1.000000	6:64
16838651777	-1.971058	6	0.255066	1.796771	1.796771	1.000000	6:64
16831938817	-1.970482	6	0.255168	1.796706	1.796706	1.000000	6:64
16790126081	-1.966894	6	0.255803	1.796303	1.796303	1.000000	6:64
16780552513	-1.966071	6	0.255949	1.796211	1.796211	1.000000	6:64
16735094401	-1.962158	6	0.256644	1.795770	1.795770	1.000000	6:64
2837232961	0.598163	5	1.513787	1.795612	1.795612	2.000000	5:64
16583528321	-1.949032	6	0.258990	1.794288			
16559527553	-1.946942	6	0.259365	1.794051			
16556991937	-1.946722	6	0.259405	1.794026			
16537130369	-1.944990	6	0.259717	1.793829			
16459931009	-1.938239	6	0.260935	1.793062			
16422176257	-1.934926	6	0.261535	1.792685			
16406454593	-1.933544	6	0.261785	1.792528			
16337841473	-1.927498	6	0.262885	1.791838			
16292014337	-1.923446	6	0.263624	1.791375			
16200018433	-1.915276	6	0.265121	1.790438			
16165770689	-1.912223	6	0.265683	1.790087			
16153972609	-1.911170	6	0.265877	1.789966			
16149041921	-1.910730	6	0.265958	1.789916			
16111810049	-1.907400	6	0.266573	1.789532			
