family	N	kappa	p	SIGMA	TNUM	NKER	TMASSf	CRATIO	EXCESS	ZFRATIO	ZFLOOR_OK	tag
M4	32	1	1073741953	1.9999998266737435	21256991616	1719937	4.94927904009819	0.989855903341517	0.9873198788716262	1.237319908676901	True	T1a/s=+2.00
M4	8	1	97	1.4000871578128722	736	65	2.875	0.7922585227272727	0.7132352941176471	1.08935546875	True	LAD8-exhaustive
M4	8	1	113	1.1798210375848122	608	65	2.375	0.7292798913043478	0.609313725490196	1.04833984375	True	LAD8-exhaustive
M4	8	1	193	0.40754296273191937	448	33	1.75	0.75390625	0.5676470588235294	1.3193359375	True	LAD8-exhaustive
M4	8	1	241	0.08711066377003807	384	17	1.5	0.7288306451612904	0.4725490196078431	1.412109375	True	LAD8-exhaustive
M4	8	1	257	-0.005624549193878892	256	1	1.0	0.501953125	0.0	1.00390625	True	LAD8-exhaustive
M4	8	1	337	-0.3966047811818587	288	17	1.125	0.6404138513513513	0.16519607843137254	1.48095703125	True	LAD8-exhaustive
M4	8	1	353	-0.4635243732711807	352	33	1.375	0.7983141447368421	0.5191176470588236	1.89599609375	True	LAD8-exhaustive
M4	8	1	401	-0.6474584264549197	384	17	1.5	0.916920731707317	0.7862745098039216	2.349609375	True	LAD8-exhaustive
M4	8	1	433	-0.7582232147267245	384	17	1.5	0.9440406976744186	0.8490196078431372	2.537109375	True	LAD8-exhaustive
M4	8	1	449	-0.8105716347411462	256	1	1.0	0.6377840909090909	0.0	1.75390625	True	LAD8-exhaustive
M4	8	1	577	-1.172427508645482	320	17	1.25	0.8668870192307693	0.5656862745098039	2.8173828125	True	LAD8-exhaustive
M4	8	1	593	-1.2118882945460037	256	1	1.0	0.6992924528301887	0.0	2.31640625	True	LAD8-exhaustive
M4	8	1	641	-1.3241805466187415	256	1	1.0	0.7154017857142857	0.0	2.50390625	True	LAD8-exhaustive
M4	8	1	673	-1.3944626946103167	256	1	1.0	0.7252155172413793	0.0	2.62890625	True	LAD8-exhaustive
M4	8	1	769	-1.5868397879618268	256	1	1.0	0.7509765625	0.0	3.00390625	True	LAD8-exhaustive
M4	8	1	881	-1.7829982089204144	288	17	1.125	0.8724691901408451	0.43186274509803924	3.87158203125	True	LAD8-exhaustive
M4	8	1	929	-1.8595347863826532	256	1	1.0	0.7846283783783784	0.0	3.62890625	True	LAD8-exhaustive
M4	8	1	977	-1.9322147519683845	256	1	1.0	0.7930194805194806	0.0	3.81640625	True	LAD8-exhaustive
M4	8	1	1009	-1.9787104591063578	256	1	1.0	0.7982594936708861	0.0	3.94140625	True	LAD8-exhaustive
M4	16	1	16417	1.99709710359976	374368	2625	5.71240234375	1.1443346016856666	1.180491482068265	1.4309770092368126	True	LAD16-exhaustive
M4	16	1	16481	1.9914838384105131	326400	2689	4.98046875	1.0008181997262728	1.0010239638170444	1.2524887919425964	True	LAD16-exhaustive
M4	16	1	16673	1.9747739063050087	358304	2593	5.46728515625	1.1088464067992927	1.1365384208462082	1.3909308686852455	True	LAD16-exhaustive
M4	16	1	16993	1.9473470473249446	391968	2593	5.98095703125	1.2315141870883972	1.2915450191810673	1.5508179143071175	True	LAD16-exhaustive
